Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
1961-07-31;355.2;26.658065;20.496774;84.75;2.172043;
1961-08-31;243.8;26.587097;20.280645;84.16129;2.301075;
1961-09-30;91.2;27.603333;21.066667;78.466667;2.622222;
1961-10-31;86;28.067742;21.848387;79.080645;2.989247;
1961-11-30;8.5;29.426667;20.89;71.475;2.855556;
1961-12-31;18;29.722581;20.887097;72.870968;2.83871;
1962-01-31;0;30.590323;20.887097;71.193548;1.989247;
1962-02-28;90.5;30.235714;22.771429;71.517857;1.75;
1962-03-31;155.6;29.948387;22.793548;77.66129;2.010753;
1962-04-30;128;28.98;22.09;81.641667;2.066667;
1962-05-31;286.1;28.512903;21.458065;84.096774;1.16129;
1962-06-30;562.6;27.28;21.103333;85.333333;1.133333;
1962-07-31;290.7;26.754839;20.393548;85.193548;1.655914;
1962-08-31;143;26.967742;20.048387;81.096774;1.677419;
1962-09-30;164.5;27.593333;20.206667;80.35;1.977778;
1962-10-31;21.8;29.248387;21.041935;75.524194;2.032258;
1962-11-30;6.2;29.53;21.063333;74.45;2.3;
1962-12-31;105.1;29.858065;22.058065;75.403226;2.55914;
1963-01-31;23.7;30.409677;21.732258;74.024194;2.72043;
1963-02-28;157.3;30.717857;22.646429;75.071429;2.988095;
1963-03-31;402.7;28.790323;22.309677;82.862903;1.182796;
1963-04-30;333.5;28.866667;21.866667;84.758333;1.522222;
1963-05-31;216.9;28.329032;21.474194;82.967742;1.569892;
1963-06-30;274.9;27.076667;20.88;86.225;1.855556;
1963-07-31;213.8;26.690323;20.216129;83.354839;1.595699;
1963-08-31;168.2;26.909677;19.993548;84.040323;2.376344;
1963-09-30;64.2;27.883333;20.103333;79.166667;2.455556;
1963-10-31;19.1;29.541935;20.890323;74.822581;3.107527;
1963-11-30;71.9;30.773333;21.833333;76.425;2.555556;
1963-12-31;98.9;30.503226;22.158065;81.25;1.430108;
1964-01-31;141.8;30.196774;22.341935;82.41129;1.483871;
1964-02-29;298.3;30.148276;22.741379;83.551724;.988506;
1964-03-31;625.6;29.951613;22.490323;83.862903;1.043011;
1964-04-30;452.1;29.27;22.46;83.6;1.333333;
1964-05-31;365.1;28.645161;22.158065;85.282258;1.16129;
1964-06-30;679.5;27.286667;21.4;88.691667;2;
1964-07-31;413.1;27.012903;20.722581;86.870968;1.462366;
1964-08-31;263.8;27.241935;20.190323;82.459677;1.311828;
1964-09-30;223.6;27.063333;19.906667;82.891667;1.155556;
1964-10-31;13.7;28.590323;19.245161;71.782258;2.139785;
1964-11-30;27.4;29.846667;18.923333;70.566667;2.322222;
1964-12-31;23.1;30.383871;19.516129;70.717742;2.430108;
1965-01-31;259.9;29.258065;20.258065;76.016129;1.935484;
1965-02-28;23.2;30.85;19.385714;73.723214;1.97619;
1965-03-31;73.7;30.467742;20.074194;77.806452;1.784946;
1965-04-30;352.7;29.8;20.233333;83.141667;1.555556;
1965-05-31;350.5;28.729032;19.954839;84.516129;1.774194;
1965-06-30;655.7;27.493333;19.633333;86.216667;1.444444;
1965-07-31;152.4;28.064516;18.109677;80.83871;1.849462;
1965-08-31;162.7;27.493548;17.1;80.870968;1.752688;
1965-09-30;86.4;27.896667;18.173333;79.258333;2.145556;
1965-10-31;84.5;29.035484;19.422581;78.233871;2.634409;
1965-11-30;41.3;29.713333;21.706667;73.533333;3.088889;
1965-12-31;49.3;29.567742;22.577419;75.177419;2.548387;
1966-01-31;186.9;29.974194;21.974194;77.112903;1.806452;
1966-02-28;302.9;29.075;22.292857;82.1875;1.47619;
1966-03-31;368.9;29.429032;22.132258;79.758065;1.731183;
1966-04-30;51.3;30.634783;22.365217;77.4125;null;
1966-05-31;496.8;28.832258;22.33871;81.435484;1.44086;
1966-06-30;312.5;27.636667;22.013333;84.341667;1.543333;
1966-07-31;651.5;26.916129;21.76129;86.314516;2.935484;
1966-08-31;111.8;27.5;20.245161;78.572581;3.924731;
1966-09-30;255.7;27.793333;20.526667;80.25;3.188889;
1966-10-31;0;28.9;21.13871;75.137097;2.806452;
1966-11-30;106.3;29.416667;22.233333;74.855769;3.066667;
1966-12-31;39;30.070968;22.316129;75.580645;2.978495;
1967-01-31;11.3;31.151613;22.216129;70.846774;3.139785;
1967-02-28;96.4;30.760714;23.1;72.741071;3.047619;
1967-03-31;339.7;29.641935;22.632258;81.596774;2.387097;
1967-04-30;508.1;29.063333;22.62;85.25;2.344444;
1967-05-31;390.5;28.493548;22.377419;86.274194;2.430108;
1967-06-30;311.2;28.3;21.473333;82.983333;2.611111;
1967-07-31;326.7;27.519355;20.709677;84.83871;2.645161;
1967-08-31;296.5;27.477419;20.4;80.991935;3.498925;
1967-09-30;30;28.343333;21.456667;75.941667;3.471111;
1967-10-31;64.7;28.387097;22.377419;76.282258;3.763441;
1967-11-30;3.3;29.816667;20.763333;70.225;3.288889;
1967-12-31;30.2;30.119355;20.754839;71.41129;3.408602;
1968-01-31;218.4;29.951613;21.490323;74.491935;2.903226;
1968-02-29;null;null;null;null;null;
1968-03-31;407.2;29.448387;22.203226;83.524194;2.054348;
1968-04-30;249.9;29.226667;22.6;84.883333;2.244444;
1968-05-31;226.3;28.158065;22.287097;87.201613;3.365591;
1968-06-30;162.6;27.426667;20.983333;87.075;3.8;
1968-07-31;260.5;27.5;20.906452;85.806452;3.849462;
1968-08-31;112.2;27.341935;20.567742;82.758065;3.408602;
1968-09-30;71.6;28.09;20.716667;80.033333;4.111111;
1968-10-31;22.4;29.854839;21.870968;75.137097;3.569892;
1968-11-30;7.3;30.196667;21.85;73.112069;3.5;
1968-12-31;51.4;30.435484;22.651613;72.975806;2.978495;
1969-01-31;156.7;30.145161;23.232258;78.096774;3.006452;
1969-02-28;25.4;31.103571;22.7;75.892857;2.595238;
1969-03-31;178.5;30.422581;23.187097;81.58871;1.752688;
1969-04-30;96;29.92;23.163333;83.308333;1.933333;
1969-05-31;457.8;29.048387;22.8;88.459677;1.784946;
1969-06-30;497.6;28.31;22.143333;87.541667;2.455556;
1969-07-31;455.3;27.351613;21.63871;86.733871;2.967742;
1969-08-31;235.4;27.441935;20.535484;82.145161;3.311828;
1969-09-30;70.6;28.406667;21.55;76.416667;3.5;
1969-10-31;20.1;29.451613;21.63871;74.693548;3.310753;
1969-11-30;43.3;29.896667;22.38;72.691667;3.733333;
1969-12-31;46.7;30.167742;22.280645;72.870968;2.913978;
1970-01-31;102.2;29.93871;23.106452;76.677419;2.774194;
1970-02-28;113.3;29.892857;23.017857;76.0625;3.571429;
1970-03-31;269.4;29.267742;23.080645;83.354839;2.430108;
1970-04-30;591.3;28.643333;22.383333;86.025;2.755556;
1970-05-31;186.7;28.383871;21.596774;85.056452;3.075269;
1970-06-30;367.8;27.756667;21.576667;86.141667;2.855556;
1970-07-31;503.6;26.767742;20.835484;84.7;3.935484;
1970-08-31;626;26.880645;20.787097;84;4.002151;
1970-09-30;77.2;28.093333;21.426667;79.075;3.888889;
1970-10-31;11.9;29.512903;20.841935;75.733871;2.967742;
1970-11-30;29;30.113333;21.406667;73.625;3.233333;
1970-12-31;33.6;30.580645;22.329032;72.475806;3.860215;
1971-01-31;61.5;30.23871;22.274194;74.120968;null;
1971-02-28;40.9;30.775;22.253571;74.5;null;
1971-03-31;173.1;30.458065;23.122581;78.366667;null;
1971-04-30;190.2;30.173333;22.716667;85.108333;null;
1971-05-31;493.3;28.341935;22.132258;87.91129;null;
1971-06-30;277.5;28.106667;21.936667;86.4;null;
1971-07-31;415.2;27.135484;21.26129;84.983871;null;
1971-08-31;154.9;27.235484;20.477419;80.733871;null;
1971-09-30;170.1;28.066667;21.393333;78.825;null;
1971-10-31;145.9;28.603226;22.1;78.142857;null;
1971-11-30;24.3;29.166667;21.605;77.323529;null;
1971-12-31;11.4;30.082759;21.393103;73.508621;null;
1972-01-31;32.7;31.080645;19.643333;71.612903;null;
1972-02-29;62.1;30.113793;22.582759;75.339286;null;
1972-03-31;156.6;29.845161;22.480645;80.908333;null;
1972-04-30;359.3;29.416667;22.472414;82.908333;null;
1972-05-31;287.1;28.519355;22.270968;87.83871;null;
1972-06-30;338.7;27.973333;21.866667;86.891667;null;
1972-07-31;232;27.767742;21.012903;84.298387;null;
1972-08-31;285.3;27.912903;19.758065;81.516129;null;
1972-09-30;128;28.286667;21.613333;77.15;null;
1972-10-31;72.3;29.393548;22.177419;75.241935;null;
1972-11-30;8.9;30.266667;21.333333;72.5;null;
1972-12-31;39.7;30.529032;23.448387;74.408333;null;
1973-01-31;82.9;30.164516;23.548387;75.733871;2.891304;
1973-02-28;108.3;30.714286;23.564286;75.107143;3.309524;
1973-03-31;201.1;30.867857;23.596552;79.142857;2.91828;
1973-04-30;770.4;29.55;23.76;85.525;2.398889;
1973-05-31;313;29.532258;22.674194;85.685484;2.15914;
1973-06-30;501.2;28.246667;22.893333;87.633333;2.195556;
1973-07-31;422.6;28.170968;22.125806;84.903226;2.847312;
1973-08-31;100.7;28.635484;21.290323;78.951613;3.245161;
1973-09-30;200.4;28.2;21.326667;82.275;3.208889;
1973-10-31;118.6;29.232258;21.83871;76.532258;3.07957;
1973-11-30;23.8;30.486667;21.813333;71.875;4.057778;
1973-12-31;65.6;30.46129;22.429167;72.846774;3.489247;
1974-01-31;210.1;30.164516;22.5;75.927419;2.924731;
1974-02-28;174.5;29.617857;22.732143;78.169643;2.433333;
1974-03-31;323.5;29.590323;23.1;84.241935;2.107527;
1974-04-30;285.3;29.35;22.87;86.25;2.026667;
1974-05-31;454.6;28.806452;22.258065;85.572581;2.243011;
1974-06-30;299.6;27.79;21.86;85.191667;2.693333;
1974-07-31;252.6;26.996774;20.990323;83.225806;3.853763;
1974-08-31;76.1;27.377419;20.732258;80.201613;3.648387;
1974-09-30;121.3;27.603333;21.14;78.766667;3.504444;
1974-10-31;14.8;29.287097;21.574194;74.419355;3.405376;
1974-11-30;15.2;30.343333;21.510345;72.7;3.826667;
1974-12-31;86.3;29.858065;22.293548;75.927419;3.353763;
1975-01-31;87.1;30.109677;22.970968;74.129032;3.421505;
1975-02-28;53;30.967857;22.310714;72.9375;3.322619;
1975-03-31;257.1;30.364516;22.541935;79.370968;2.575269;
1975-04-30;110.6;30.893333;22.373333;77.625;2.641111;
1975-05-31;335.3;28.722581;22.022581;86.024194;2.802151;
1975-06-30;408;27.906667;21.426667;87.633333;2.821111;
1975-07-31;556.2;26.9;21.135484;87.153226;3.515054;
