Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-12-01;0;31.9;24;70;2.033333;
2015-12-02;0;31.6;25.4;59.75;1.466667;
2015-12-03;0;32;21.6;58.5;2.133333;
2015-12-04;0;32.9;21.4;59.75;1.833333;
2015-12-05;0;33;21.1;61;1.566667;
2015-12-06;0;32.8;22.9;63;1.833333;
2015-12-07;0;31.7;21;64.5;2.633333;
2015-12-08;0;32.1;23.3;56.25;1.7;
2015-12-09;0;32;26.4;63.75;2.8;
2015-12-10;0;32;25.6;63.75;1.966667;
2015-12-11;0;32.6;22.4;63;1.9;
2015-12-12;0;32.5;24.4;66.75;2.6;
2015-12-13;0;31.4;26;68.5;2.333333;
2015-12-14;0;31.9;24.4;65.25;2.766667;
2015-12-15;1.8;31.8;23;68.75;2.633333;
2015-12-16;7.4;31.6;23.8;73;1.166667;
2015-12-17;0;31.1;23;69.25;2.733333;
2015-12-18;4;30.4;24;86.25;1.666667;
2015-12-19;5.8;30.3;24;74.5;2.666667;
2015-12-20;1;32.4;23.2;70.25;2.566667;
2015-12-21;.2;31.6;24.6;69;2.766667;
2015-12-22;1.8;28.9;24.9;88;1.466667;
2015-12-23;4.7;30.7;23;72.5;1.833333;
2015-12-24;2.6;27.4;19.8;87.75;1.1;
2015-12-25;49;29.1;22;80.25;1.566667;
2015-12-26;1.3;30;23.4;70.25;2.2;
2015-12-27;4.2;29.4;23.8;79.5;1.966667;
2015-12-28;3;31;23.3;72.75;2.566667;
2015-12-29;5;30.6;24;74.75;1.133333;
2015-12-30;0;30.6;25.6;70;2.2;
2015-12-31;0;31.2;25;71;2.766667;
2016-01-01;0;31.1;22.4;64.5;1.9;
2016-01-02;0;32;23.6;66.25;1.566667;
2016-01-03;0;33.1;23;60;1.6;
2016-01-04;0;33.2;23.1;69.25;2.166667;
2016-01-05;0;32.9;24;72;2.1;
2016-01-06;0;32.1;24.4;68.75;1.366667;
2016-01-07;0;31.5;24.7;69.75;1.266667;
2016-01-08;0;31;25.6;67.75;2.066667;
2016-01-09;4.4;27.2;22.8;89.75;1.666667;
2016-01-10;25.7;30.8;21.9;73.5;1.7;
2016-01-11;3;31.3;24.3;70.5;1.466667;
2016-01-12;1;30.8;24;74.25;1.666667;
2016-01-13;0;31.5;23.9;68.75;.833333;
2016-01-14;3;31.3;24.7;68.75;1.666667;
2016-01-15;1;31.8;24.9;67.5;1.966667;
2016-01-16;2.6;32;25.2;71.75;1.5;
2016-01-17;3.6;33.2;24.4;72.75;.666667;
2016-01-18;6;28.1;24.2;91.25;.566667;
2016-01-19;14.8;32;23.6;77.5;.833333;
2016-01-20;24.8;31.2;24;79;.266667;
2016-01-21;3.2;31.4;23.8;82.75;1;
2016-01-22;13.8;30.5;24;81;1.166667;
2016-01-23;1;31;24;75;2;
2016-01-24;0;31.6;25.2;69.5;1.666667;
2016-01-25;0;31.8;24.8;69.5;1.9;
2016-01-26;3;31.3;23.5;68;1.9;
2016-01-27;0;32.3;23;64.5;1.233333;
2016-01-28;.4;31.4;26;68.5;2.766667;
2016-01-29;0;31.4;21.2;86.25;3.033333;
2016-01-30;12.7;30;20.1;79.25;1.333333;
2016-01-31;0;30;22;81;.966667;
2016-02-01;6.2;31;25;78.5;1.966667;
2016-02-02;1.6;31.3;25;69.5;2;
2016-02-03;0;32;24;70.75;1.533333;
2016-02-04;0;31.8;22.8;75;.85;
2016-02-05;0;31.6;22.4;67;2.366667;
2016-02-06;0;31.4;25.6;62.5;2;
2016-02-07;0;31.6;24.6;67;1.4;
2016-02-08;2.4;31.6;24;76.5;1.133333;
2016-02-09;4.6;31.6;24;74.5;2.533333;
2016-02-10;2;31;24.8;74.75;1.5;
2016-02-11;0;31.8;21.9;76.5;1.8;
2016-02-12;0;32.9;21;70.5;1.366667;
2016-02-13;0;32.9;23;73.25;2.066667;
2016-02-14;0;32.4;24;72;2.033333;
2016-02-15;8.4;32;25;81.5;.733333;
2016-02-16;2.8;31;23.8;72.5;2.133333;
2016-02-17;0;32;23.8;73.75;1.9;
2016-02-18;27;27.7;23.2;95.25;.266667;
2016-02-19;4.6;30.6;25.4;80.25;1.766667;
2016-02-20;1.8;31.4;24;74.75;1.966667;
2016-02-21;4.2;30;22;78.25;2.4;
2016-02-22;2;31.4;23.8;72.5;1.466667;
2016-02-23;1.6;30.6;24;85.25;1.333333;
2016-02-24;.4;30.4;25.6;null;0;
2016-02-25;.4;31.6;null;78;1.3;
2016-02-26;0;31.4;23.8;70.25;2.6;
2016-02-27;0;31.8;25;72.5;1.133333;
2016-02-28;0;32;23.4;71;1.566667;
2016-02-29;0;31.8;23.8;68.25;2.033333;
2016-03-01;0;32.6;22.9;66.5;2.233333;
2016-03-02;0;32.5;23.2;68;2.366667;
2016-03-03;8.4;31;24;91.5;.266667;
2016-03-04;45.8;31.4;24.2;81.5;2.4;
2016-03-05;0;31.2;25;75.25;2.333333;
2016-03-06;.2;32;23;69.5;1.833333;
2016-03-07;.4;32;24;71.75;1.533333;
2016-03-08;0;32;24.2;74;2.2;
2016-03-09;0;31.8;24.2;71;2.4;
2016-03-10;0;32.5;23.1;68.5;2.233333;
2016-03-11;0;33;23.4;72.5;1.2;
2016-03-12;0;33.8;24;69;2.4;
2016-03-13;0;31.8;24.2;69;2.033333;
2016-03-14;.4;30.4;23.7;83.75;2;
2016-03-15;16.2;28.3;23.2;85;1.233333;
2016-03-16;8;31.3;22.8;85.25;2.533333;
2016-03-17;52;28.1;23.6;92.5;.7;
2016-03-18;15.6;31.3;23.8;76.75;1.7;
2016-03-19;1.4;31;23.4;74.25;1.133333;
2016-03-20;0;32;22.4;80.25;.833333;
2016-03-21;0;32.1;23.7;70.75;1.133333;
2016-03-22;13;32.3;24.2;72.25;1;
2016-03-23;11.4;31.6;24.6;75.75;1;
2016-03-24;0;31.8;25.4;70.75;.966667;
2016-03-25;13.2;31.4;24.8;71.5;2.233333;
2016-03-26;2.2;31.5;23.4;73;1.966667;
2016-03-27;0;31;24.8;78;1.033333;
2016-03-28;.7;32;24.2;74.5;1.633333;
2016-03-29;11;30;24.2;86.5;.6;
2016-03-30;65.2;29.5;23.9;77;1.4;
2016-03-31;0;31;23;72.75;2.2;
2016-04-01;13;31;24.4;84.5;1.366667;
2016-04-02;1;30.3;23.8;78;3.033333;
2016-04-03;0;31.6;23.8;78;1.9;
2016-04-04;3.8;31.6;23.8;72.25;1.966667;
2016-04-05;.4;31;24;83;.933333;
2016-04-06;8.5;30.8;24.2;77;2.1;
2016-04-07;.6;31.2;24;78;2.2;
2016-04-08;0;31.4;23.6;72.25;2.066667;
2016-04-09;.8;31.8;24;72.5;.833333;
2016-04-10;0;30.8;24;84;1.4;
2016-04-11;35.2;29.4;24.7;85.25;1;
2016-04-12;6.5;29.6;23.4;79;0;
2016-04-13;2.4;30;23.6;87.5;1.566667;
2016-04-14;11;31;24.4;75.75;1.566667;
2016-04-15;0;30.5;23.8;85;2.2;
2016-04-16;101.8;27.1;23.7;94.25;.833333;
2016-04-17;58;31.2;23.6;76.5;2.766667;
2016-04-18;17.2;29.2;24.3;87;1.6;
2016-04-19;3;30.6;23;73.75;1.833333;
2016-04-20;0;30.4;24.2;71.5;1.733333;
2016-04-21;0;30.8;24;83.25;1.766667;
2016-04-22;1.2;31;24.6;71.25;1.833333;
2016-04-23;0;31.1;23;75.25;1.666667;
2016-04-24;0;31;22.2;75;1.533333;
2016-04-25;6.2;29.9;22.8;85.75;1.133333;
2016-04-26;12.8;30.6;23;83;1.666667;
2016-04-27;0;31.2;22.9;71.75;1.4;
2016-04-28;3.8;32;24;75.5;1.9;
2016-04-29;1;30.8;23.4;83;.766667;
2016-04-30;5.4;30.7;23.3;78.25;1.666667;
2016-05-01;2.9;28.4;23.2;87.75;.566667;
2016-05-02;60.9;30.2;23.8;83;1.133333;
2016-05-03;4.8;30.2;23.2;74.75;2.1;
2016-05-04;1;29.8;22;73;2.9;
2016-05-05;1.2;30.6;22.3;81;1.566667;
2016-05-06;23.4;27.7;22.7;88.5;.566667;
2016-05-07;.9;30.5;20.7;79.5;1.933333;
2016-05-08;.8;29.3;22.2;85.25;.833333;
2016-05-09;54.1;25;22.6;97;.666667;
2016-05-10;102.1;29.7;23;85.75;2.2;
2016-05-11;14;29.6;24.1;86;1.3;
2016-05-12;.8;31.4;23.7;77.75;1.133333;
2016-05-13;0;31.4;23.2;80;.833333;
2016-05-14;0;30.4;23.4;80.5;1.566667;
2016-05-15;0;30.3;21.3;73.75;1.4;
2016-05-16;.8;30.4;22.6;87.25;1;
2016-05-17;13.8;29.5;24;82.25;1.5;
2016-05-18;.6;30.2;23;83;1.366667;
2016-05-19;.8;30;22.2;74.25;2;
2016-05-20;0;30.2;22;75.5;1.3;
2016-05-21;0;31;21.6;79.5;1.566667;
2016-05-22;0;31.3;21.4;74.75;1.266667;
2016-05-23;0;31.4;21.9;70.5;1.3;
2016-05-24;10.2;27.5;22;89.25;.766667;
2016-05-25;38.8;28.5;21;90.5;.666667;
2016-05-26;8.4;28.7;21.2;83.25;1.233333;
2016-05-27;1.2;29.8;21.5;80;.833333;
2016-05-28;0;30.3;22;78;1.566667;
2016-05-29;3.8;29.6;23.4;89;.833333;
2016-05-30;119.8;26.1;23.3;90.25;0;
2016-05-31;13.2;29.2;22.8;85;.566667;
2016-06-01;null;30.1;22.1;null;0;
2016-06-02;0;30;23;85;.5;
2016-06-03;10.4;26.1;23;93;.166667;
2016-06-04;36;27.1;22.2;88;.266667;
2016-06-05;14.8;30.3;23.8;76.75;1.4;
2016-06-06;4.6;31;23.2;84.75;0;
2016-06-07;1.8;30.6;21.6;80.5;.5;
2016-06-08;.2;30.7;22;78.5;1.233333;
2016-06-09;0;31.2;21.9;78.5;1.166667;
2016-06-10;1.8;29.8;22.4;78;.8574;
2016-06-11;0;30;21.9;79.25;.68592;
2016-06-12;0;29.4;21.1;78.5;1.4;
2016-06-13;2;29.1;20.1;79.5;1.433333;
2016-06-14;11;28.1;22;85.75;1.54332;
2016-06-15;2.5;29;20.6;77.75;1.37184;
2016-06-16;0;29.1;19.5;76.75;1.233333;
2016-06-17;0;29.3;18.8;76.5;1.333333;
2016-06-18;0;29;20.2;78.75;.8574;
2016-06-19;1.6;28.1;21.4;84;.8574;
2016-06-20;1.8;28.9;22.1;75;1.7148;
2016-06-21;.4;29.2;19.8;80;1.7148;
2016-06-22;16.6;29.1;22;83.75;2.5722;
2016-06-23;7.6;28.9;22.5;86;1.37184;
2016-06-24;11.2;28.6;20.6;78.5;1.7148;
2016-06-25;0;29.2;20.4;81.5;1.20036;
2016-06-26;2.4;27.8;21.6;84.25;3.4296;
2016-06-27;6.8;27.7;21;86.75;1.02888;
2016-06-28;14.2;28.6;19.4;77.5;2.74368;
2016-06-29;.2;28.1;20.2;77.25;1.37184;
2016-06-30;.6;28.9;18.8;76;2.22924;
2016-07-01;4.4;28.5;22.2;75.5;2.05776;
2016-07-02;.4;28.1;22.8;79.5;1.37184;
2016-07-03;4.1;28.9;23;76.5;1.88628;
2016-07-04;5.4;28.3;22.1;81;.68592;
2016-07-05;3.4;28.8;21.4;80.75;2.22924;
2016-07-06;2.6;28.7;21.3;87.75;1.20036;
2016-07-07;8.2;28.5;21;83;.51444;
2016-07-08;0;29.1;21.4;84.25;1.20036;
2016-07-09;0;29;21.5;81.75;1.7148;
2016-07-10;.6;28.7;20.8;80.75;1.7148;
2016-07-11;0;29.6;20.8;78.5;1.54332;
2016-07-12;4;28;21;87.25;1.54332;
2016-07-13;25;27.8;22;91.5;0;
2016-07-14;9.6;27.9;21.8;88.75;1.54332;
2016-07-15;1.9;28.4;20.4;79.5;1.02888;
2016-07-16;1.4;28.2;19.4;89;1.37184;
2016-07-17;2.2;29.6;19.4;79;1.88628;
2016-07-18;0;29.3;20.4;78.25;.8574;
2016-07-19;0;27.3;21;88.5;2.05776;
2016-07-20;17.9;27.9;22;85.5;1.02888;
2016-07-21;.4;28.5;18.8;81;1.37184;
2016-07-22;0;28.5;18;78.5;1.54332;
2016-07-23;0;28.4;20.2;77.25;1.7148;
2016-07-24;3.2;27.6;20.6;78;2.91516;
2016-07-25;.3;28.3;21.6;78.5;2.5722;
2016-07-26;.2;28.3;18.6;80;1.7148;
2016-07-27;2.1;27.9;20.3;79;1.54332;
2016-07-28;2;28.1;20.6;80;2.22924;
2016-07-29;2.6;27.7;20.4;83.75;1.88628;
2016-07-30;5.8;28.1;19.8;76;3.08664;
2016-07-31;3.6;27.8;21.3;70.75;3.60108;
2016-08-01;0;28.5;21.6;71;2.40072;
2016-08-02;1;28.9;22;86.25;1.54332;
2016-08-03;2.4;28.1;21.8;84;1.37184;
2016-08-04;.5;28.3;20.5;79.25;1.88628;
2016-08-05;.6;27.9;19.6;78;2.05776;
2016-08-06;1.4;28.6;21;75.75;2.74368;
2016-08-07;2;28.5;19.2;79.5;.8574;
2016-08-08;0;28.7;18.6;80.5;.68592;
2016-08-09;0;28.1;18;89;1.02888;
2016-08-10;1.7;28.5;20.8;83.25;1.02888;
2016-08-11;1.3;28.5;20.2;77.25;1.20036;
2016-08-12;0;29.3;18.4;70.25;1.54332;
2016-08-13;0;29.6;19;70.75;1.20036;
2016-08-14;0;29.2;18;79.5;1.20036;
2016-08-15;1;29.1;21.4;83.25;1.02888;
2016-08-16;4.4;29.5;20.3;78.25;1.7148;
2016-08-17;0;30;21;72.75;1.54332;
2016-08-18;0;29.2;19.8;74.25;2.40072;
2016-08-19;1.2;30;21;80.75;.68592;
2016-08-20;3.1;27.8;21.6;82.25;2.40072;
2016-08-21;.4;29.6;19.8;76.5;1.88628;
2016-08-22;0;30.2;20.6;75;1.88628;
2016-08-23;.8;29.6;22.8;75;2.40072;
2016-08-24;13.8;29;21.5;68.5;3.4296;
2016-08-25;0;28.9;21.8;66.25;2.22924;
2016-08-26;0;28.9;19.2;76.75;2.40072;
